Date,From,To,Mode,Distance (mi)
2022-01-09 18:50,"Kihei, United States","Lahaina, United States",Car,10.44
2022-01-10 03:21,"Paia, United States","Kihei, United States",Car,18.88
2022-01-11 01:29,"Kahului, United States","Kihei, United States",Car,11.49
2022-01-16 04:33,"Lahaina, United States","Maui County, United States",Car,10.02
2022-01-23 18:34,"Makawao, United States","Kihei, United States",Car,14.05
2022-01-24 01:36,"Kahului, United States","None, United States of America",Car,14.07
2022-01-24 03:02,"None, United States of America","None, None",Flight,800.58
2022-01-24 07:08,"None, None","SeaTac, United States",Flight,1829.43
2022-01-27 17:52,"Seatac, United States","Browns Point, United States",Car,13.2
2022-01-27 17:58,"Browns Point, United States","Grays Harbor County, United States",Car,57.7
2022-01-27 19:27,"Grays Harbor County, United States","None, None",Flight,756.42
2022-01-27 23:14,"None, None","Kahului, United States",Car,58.92
