Location,Fractional Days
"Kihei, United States",21.0
"Wailea, United States",3.7
"Mercer Island, United States",3.1
"Kahului, United States",1.1
"Makawao, United States",1.0
"Lahaina, United States",0.4
"Maui, United States",0.3
"SeaTac, United States",0.3
"None, None",0.3
"Paia, United States",0.2
"Bellevue, United States",0.1
"Makena, United States",0.1
"Maui County, United States",0.1
"Kula, United States",0.1
"None, United States of America",0.1
"Kalawao County, United States",0.0
"Redmond, United States",0.0
"Issaquah, United States",0.0
"Seattle, United States",0.0
"Napili, United States",0.0
"Maalaea, United States",0.0
"Wailuku, United States",0.0
"Kanahena, United States",0.0
"Tukwila, United States",0.0
"Browns Point, United States",0.0
"Seatac, United States",0.0
"Maʻalaea, United States",0.0
"Grays Harbor County, United States",0.0
"Haliimaile, United States",0.0
"Kaonoulu, United States",0.0
