Location,Fractional Days
"Alamo, United States",7.6
"Lanai City, United States",4.3
"Lahaina, United States",2.8
"Makena, United States",2.6
"Kihei, United States",1.3
"San Francisco, United States",1.3
"Portland, United States",1.1
"Bend, United States",1.0
"Maui County, United States",0.9
"Paia, United States",0.9
"Concord, United States",0.7
"Pronghorn, United States",0.7
"Mercer Island, United States",0.7
"Wailuku, United States",0.5
"Maui, United States",0.3
"Napa, United States",0.3
"Redwood City, United States",0.2
"Danville, United States",0.2
"Walnut Creek, United States",0.1
"Wailea, United States",0.1
"Kahului, United States",0.1
"Kula, United States",0.1
"Kapalua, United States",0.1
"St. Helena, United States",0.1
"Seattle, United States",0.1
"Kirkland, United States",0.1
"Oakland, United States",0.1
"None, United States of America",0.1
"SeaTac, United States",0.1
"Renton, United States",0.0
"Trinity County, United States",0.0
"Issaquah, United States",0.0
"Foster City, United States",0.0
"South San Francisco, United States",0.0
"Jackson County, United States",0.0
"Dublin, United States",0.0
"Maalaea, United States",0.0
"Burlingame, United States",0.0
"Lafayette, United States",0.0
"Dorris, United States",0.0
"Ashland, United States",0.0
"Hayward, United States",0.0
"San Mateo, United States",0.0
"Fairfield, United States",0.0
"San Ramon, United States",0.0
"Redmond, United States",0.0
"Seatac, United States",0.0
"Bellevue, United States",0.0
"Castro Valley, United States",0.0
"Crook County, United States",0.0
"Honokowai, United States",0.0
"Shasta County, United States",0.0
"None, United States",0.0
"Yuba City, United States",0.0
"Mendocino County, United States",0.0
"None, None",0.0
"Orinda, United States",0.0
"Alameda County, United States",0.0
"Sebastopol, United States",0.0
"Maʻalaea, United States",0.0
"Livermore, United States",0.0
"Benicia, United States",0.0
"Yountville, United States",0.0
"Brisbane, United States",0.0
"Clarksburg, United States",0.0
"Napili, United States",0.0
"Powell Butte, United States",0.0
"Manele, United States",0.0
"Waikapu, United States",0.0
"American Canyon, United States",0.0
"Kahana, United States",0.0
"Deschutes County, United States",0.0
"Galt, United States",0.0
"Millbrae, United States",0.0
"Kaanapali, United States",0.0
"San Lorenzo, United States",0.0
