Date,From,To,Mode,Distance (mi)
2018-02-02 17:33,"Redmond, United States","Dorris, United States",Flight,166.8
2018-02-02 17:46,"Dorris, United States","Shasta County, United States",Car,96.02
2018-02-02 17:58,"Shasta County, United States","Yuba City, United States",Car,95.94
2018-02-02 18:04,"Yuba City, United States","Clarksburg, United States",Car,46.0
2018-02-02 18:06,"Clarksburg, United States","Galt, United States",Car,13.51
2018-02-02 18:14,"Galt, United States","Alameda County, United States",Car,40.9
2018-02-04 05:38,"Napa, United States","Walnut Creek, United States",Car,22.62
2018-02-05 20:21,"Alamo, United States","Dublin, United States",Car,10.31
2018-02-06 01:07,"San Francisco, United States","Seattle, United States",Flight,684.14
2018-02-06 20:07,"Renton, United States","Kirkland, United States",Car,10.74
2018-02-07 00:10,"SeaTac, United States","Trinity County, United States",Flight,461.62
2018-02-07 00:21,"Trinity County, United States","Mendocino County, United States",Flight,100.06
2018-02-07 00:29,"Mendocino County, United States","Sebastopol, United States",Car,70.63
2018-02-07 00:47,"Sebastopol, United States","Burlingame, United States",Car,58.45
2018-02-08 21:07,"San Francisco, United States","Alamo, United States",Car,22.93
2018-02-08 22:42,"Alamo, United States","San Francisco, United States",Car,22.9
2018-02-09 15:22,"Alamo, United States","Dublin, United States",Car,11.7
2018-02-09 21:10,"San Francisco, United States","Alamo, United States",Car,26.11
2018-02-09 23:39,"Alamo, United States","Maui County, United States",Flight,2362.02
2018-02-11 20:19,"Kihei, United States","Maui, United States",Car,13.26
2018-02-13 18:52,"Kihei, United States","Kula, United States",Car,12.75
2018-02-13 18:53,"Kula, United States","Kihei, United States",Car,12.17
2018-02-13 21:57,"Wailea, United States","Kula, United States",Car,10.91
2018-02-13 22:09,"Kula, United States","Kihei, United States",Car,11.52
2018-02-21 20:39,"Maui, United States","Kula, United States",Car,19.61
2018-02-21 21:01,"Kula, United States","Maui, United States",Car,19.72
2018-02-24 01:55,"None, United States of America","None, None",Car,42.3
2018-02-24 02:24,"None, None","Kahului, United States",Car,65.61
2018-02-24 06:03,"Kahului, United States","Redwood City, United States",Flight,2343.28
2018-02-27 12:40,"Danville, United States","Dublin, United States",Car,10.72
2018-02-27 12:49,"Dublin, United States","Ashland, United States",Car,10.03
2018-02-27 13:04,"Hayward, United States","San Mateo, United States",Car,10.17
2018-02-27 15:04,"South San Francisco, United States","Oakland, United States",Car,10.73
2018-02-27 15:48,"Oakland, United States","Jackson County, United States",Flight,340.34
2018-02-27 16:19,"Jackson County, United States","Portland, United States",Flight,197.17
2018-02-28 18:25,"Portland, United States","Redwood City, United States",Flight,557.95
2018-02-28 18:35,"Redwood City, United States","San Francisco, United States",Car,12.71
