Date,From,To,Mode,Distance (mi)
2018-04-06 17:01,"Cloverdale, United States","Deschutes County, United States",Car,14.32
2018-04-06 17:21,"Deschutes County, United States","Jefferson County, United States",Car,10.43
2018-04-06 17:37,"Jefferson County, United States","Cascadia, United States",Car,14.3
2018-04-06 19:14,"Lebanon, United States","Albany, United States",Car,11.45
2018-04-07 00:39,"Sweet Home, United States","Cascadia, United States",Car,18.5
2018-04-07 01:03,"Cascadia, United States","Jefferson County, United States",Car,20.75
2018-04-07 01:14,"Jefferson County, United States","Deschutes County, United States",Car,10.32
2018-04-07 01:44,"Sisters, United States","Bend, United States",Car,10.79
2018-04-14 23:49,"Bend, United States","Hood River, United States",Flight,106.91
2018-04-15 19:44,"Hood River, United States","Goldendale, United States",Car,32.52
2018-04-15 22:32,"Goldendale, United States","Klickitat County, United States",Car,12.16
2018-04-15 23:15,"Toppenish, United States","Yakima County, United States",Car,15.3
2018-04-16 16:28,"Kittitas County, United States","Cle Elum, United States",Car,23.81
2018-04-16 16:50,"Cle Elum, United States","Easton, United States",Car,15.62
2018-04-16 17:06,"Easton, United States","Snoqualmie Pass, United States",Car,12.91
2018-04-16 17:28,"King County, United States","North Bend, United States",Car,11.67
2018-04-16 17:56,"North Bend, United States","Seattle, United States",Car,27.38
2018-04-18 22:23,"Bellevue, United States","Issaquah, United States",Car,11.49
2018-04-18 22:38,"Snoqualmie, United States","King County, United States",Car,13.52
2018-04-18 23:02,"King County, United States","Easton, United States",Car,12.4
2018-04-18 23:13,"Easton, United States","Cle Elum, United States",Car,12.7
2018-04-19 16:33,"Goldendale, United States","Klickitat County, United States",Car,12.8
2018-04-19 17:13,"Wasco, United States","Moro, United States",Car,15.09
2018-04-19 17:37,"Moro, United States","Grass Valley, United States",Car,24.99
2018-04-19 17:54,"Grass Valley, United States","Wasco County, United States",Car,15.04
2018-04-19 18:52,"Madras, United States","Redmond, United States",Car,19.8
2018-04-20 17:57,"Bend, United States","Deschutes, United States",Car,23.58
2018-04-20 18:03,"Deschutes, United States","Lake County, United States",Car,31.34
2018-04-20 18:15,"Lake County, United States","Klamath, United States",Car,76.74
2018-04-20 18:33,"Klamath, United States","Tehama County, United States",Flight,136.7
2018-04-20 18:46,"Tehama County, United States","Placer County, United States",Car,95.41
2018-04-20 18:59,"Placer County, United States","Alameda County, United States",Car,79.35
2018-04-20 19:20,"Alameda County, United States","Pleasanton, United States",Car,19.11
2018-04-24 16:24,"Alamo, United States","Dublin, United States",Car,11.04
2018-04-25 00:02,"San Francisco, United States","Monmouth, United States",Flight,2573.18
2018-04-25 00:11,"Monmouth, United States","New York, United States",Car,16.19
2018-04-29 15:12,"Inwood, United States","None, None",Flight,760.74
