Location,Fractional Days
"Bend, United States",6.6
"Alamo, United States",3.7
"Lanai City, United States",3.6
"Indianapolis, United States",2.6
"Wailea, United States",2.3
"Kihei, United States",1.7
"None, Bermuda",1.1
"Seattle, United States",1.1
"San Francisco, United States",0.9
"Paia, United States",0.9
"None, None",0.9
"Roche Harbor, United States",0.9
"Depoe Bay, United States",0.8
"Gleneden Beach, United States",0.4
"Mercer Island, United States",0.4
"Lincoln County, United States",0.3
"Maui County, United States",0.2
"Atlanta, United States",0.2
"Manele, United States",0.2
"San Juan County, United States",0.1
"Burien, United States",0.1
"Lincoln City, United States",0.1
"Fishers, United States",0.1
"Makawao, United States",0.1
"Town of St. George, Bermuda",0.1
"Kaanapali, United States",0.1
"Royal Naval Dockyard, Bermuda",0.1
"Petaluma, United States",0.1
"Lahaina, United States",0.1
"Redmond, United States",0.1
"Kahului, United States",0.1
"St. David's, Bermuda",0.1
"Greenwood, United States",0.1
"Tucker's Town, Bermuda",0.0
"Deschutes County, United States",0.0
"Klamath Falls, United States",0.0
"Danville, United States",0.0
"Klamath County, United States",0.0
"Sisters, United States",0.0
"Seatac, United States",0.0
"Walnut Creek, United States",0.0
"Oak Harbor, United States",0.0
"Oakland, United States",0.0
"Grand Ronde, United States",0.0
"Maui, United States",0.0
"Sausalito, United States",0.0
"San Juan, United States",0.0
"Tehama County, United States",0.0
"Millbrae, United States",0.0
"Island County, United States",0.0
"Camano, United States",0.0
"Toledo, United States",0.0
"King County, United States",0.0
"Lebanon, United States",0.0
"Cascadia, United States",0.0
"Burlingame, United States",0.0
"Marion County, United States",0.0
"Sweet Home, United States",0.0
"Redding, United States",0.0
"Dublin, United States",0.0
"North Shore Village, Bermuda",0.0
"Maxwell, United States",0.0
"Linn County, United States",0.0
"Lakehead, United States",0.0
"Snohomish, United States",0.0
"Sunriver, United States",0.0
"Fairylands, Bermuda",0.0
"Gilchrist, United States",0.0
"Glenn County, United States",0.0
"King, United States",0.0
"Island, United States",0.0
"Mehama, United States",0.0
"Salem, United States",0.0
"Colma, United States",0.0
"Weed, United States",0.0
"Castella, United States",0.0
"Detroit, United States",0.0
"Otis, United States",0.0
"Macdoel, United States",0.0
"Arbuckle, United States",0.0
"Yolo County, United States",0.0
"Vacaville, United States",0.0
"None, United States of America",0.0
"Siskiyou County, United States",0.0
"Newport, United States",0.0
"Clinton, United States",0.0
"Skagit, United States",0.0
"La Pine, United States",0.0
"Martinez, United States",0.0
"Kula, United States",0.0
"Hayward, United States",0.0
"Foster City, United States",0.0
"Modoc Point, United States",0.0
"Dorris, United States",0.0
"Fairfield, United States",0.0
"Lawrence, United States",0.0
"Idanha, United States",0.0
"Corvallis, United States",0.0
"Orinda, United States",0.0
"Blodgett, United States",0.0
"Anacortes, United States",0.0
"Skagit County, United States",0.0
"SeaTac, United States",0.0
"Esparto, United States",0.0
"Ashland, United States",0.0
"Cougar, United States",0.0
"Pronghorn, United States",0.0
"Lafayette, United States",0.0
"Jefferson County, United States",0.0
"Lōpā, United States",0.0
"Midland, United States",0.0
"Shasta County, United States",0.0
"San Mateo, United States",0.0
"Beech Grove, United States",0.0
"San Lorenzo, United States",0.0
"San Leandro, United States",0.0
"South San Francisco, United States",0.0
"Maalaea, United States",0.0
"Kernville, United States",0.0
"Red Bluff, United States",0.0
"Pleasant Hill, United States",0.0
