Date,From,To,Mode,Distance (mi)
2018-01-02 20:01,"Walnut Creek, United States","Benicia, United States",Car,14.92
2018-01-05 13:03,"Alamo, United States","Dublin, United States",Car,11.46
2018-01-05 13:34,"Hayward, United States","Millbrae, United States",Car,14.84
2018-01-05 15:33,"San Francisco, United States","Greenfield, United States",Flight,109.29
2018-01-05 16:14,"Greenfield, United States","Los Angeles, United States",Flight,229.63
2018-01-05 21:22,"Long Beach, United States","Fountain Valley, United States",Car,11.21
2018-01-06 01:38,"Santa Ana, United States","Ventura, United States",Car,90.06
2018-01-06 01:52,"Ventura, United States","San Luis Obispo County, United States",Flight,114.78
2018-01-06 02:05,"San Luis Obispo County, United States","Monterey County, United States",Flight,105.87
2018-01-06 02:17,"Monterey County, United States","None, United States",Car,58.05
2018-01-06 02:23,"None, United States","Palo Alto, United States",Car,17.66
2018-01-06 02:32,"Palo Alto, United States","San Francisco, United States",Car,20.64
2018-01-06 03:31,"Foster City, United States","Hayward, United States",Car,11.3
2018-01-11 06:15,"Oakland, United States","Lafayette, United States",Car,10.14
2018-01-18 22:54,"Cotati, United States","Santa Rosa, United States",Car,11.56
2018-01-18 23:05,"Santa Rosa, United States","Healdsburg, United States",Car,12.03
2018-01-19 14:40,"Healdsburg, United States","Santa Rosa, United States",Car,14.81
2018-01-19 14:59,"Santa Rosa, United States","Petaluma, United States",Car,15.01
2018-01-19 15:22,"Petaluma, United States","Vallejo, United States",Car,10.53
2018-01-19 15:45,"Vallejo, United States","Concord, United States",Car,13.16
2018-01-21 00:00,"Alamo, United States","Dublin, United States",Car,10.0
2018-01-21 00:26,"Hayward, United States","Foster City, United States",Car,10.1
2018-01-21 02:43,"San Francisco, United States","Chico, United States",Flight,153.01
2018-01-21 03:41,"Chico, United States","Redmond, United States",Flight,310.18
2018-01-22 21:15,"Redmond, United States","Marion County, United States",Car,41.88
2018-01-22 21:30,"Marion County, United States","Portland, United States",Car,79.51
2018-01-23 04:01,"Portland, United States","Culver, United States",Car,92.49
2018-01-23 04:15,"Culver, United States","Redmond, United States",Car,18.47
2018-01-24 21:57,"Bend, United States","Redmond, United States",Car,12.38
2018-01-24 22:21,"Terrebonne, United States","Madras, United States",Car,15.5
2018-01-24 23:12,"Madras, United States","Antelope, United States",Car,10.05
2018-01-24 23:41,"Wasco County, United States","Maupin, United States",Car,11.17
2018-01-25 16:50,"Hood River, United States","Cascade Locks, United States",Car,12.51
2018-01-25 17:11,"North Bonneville, United States","Prindle, United States",Car,10.33
2018-01-25 17:31,"Skamania County, United States","Vancouver, United States",Car,11.52
2018-01-25 18:58,"Vancouver, United States","Kalama, United States",Car,19.0
2018-01-25 19:06,"Kalama, United States","Kelso, United States",Car,10.14
2018-01-25 19:20,"Kelso, United States","Castle Rock, United States",Car,17.63
2018-01-25 19:44,"Castle Rock, United States","Centralia, United States",Car,27.63
2018-01-25 19:57,"Centralia, United States","Olympia, United States",Car,15.9
2018-01-25 20:18,"Olympia, United States","Lakewood, United States",Car,14.97
2018-01-25 21:03,"Federal Way, United States","Tukwila, United States",Car,10.12
2018-01-25 21:15,"Tukwila, United States","Seattle, United States",Car,12.16
2018-01-29 00:58,"Lakewood, United States","Olympia, United States",Car,16.39
2018-01-29 01:27,"Olympia, United States","Lewis County, United States",Car,28.57
2018-01-29 01:46,"Lewis County, United States","Castle Rock, United States",Car,19.93
2018-01-29 01:56,"Castle Rock, United States","Kelso, United States",Car,11.81
2018-01-29 02:15,"Kalama, United States","Woodland, United States",Car,12.38
2018-01-29 02:43,"Woodland, United States","Portland, United States",Car,26.46
2018-01-29 03:11,"Corbett, United States","Cascade Locks, United States",Car,21.87
2018-01-29 03:24,"Hood River County, United States","Hood River, United States",Car,10.06
2018-01-29 16:40,"The Dalles, United States","Dufur, United States",Car,10.55
2018-01-29 16:53,"Dufur, United States","Tygh Valley, United States",Car,13.62
2018-01-29 17:24,"Maupin, United States","Antelope, United States",Car,13.32
2018-01-29 17:39,"Antelope, United States","Madras, United States",Car,15.31
