Location,Fractional Days
"Kihei, United States",14.6
"Mercer Island, United States",3.3
"Wailea, United States",2.9
"Fujikawaguchiko, Japan",2.8
"Bend, United States",2.0
"Tokyo, Japan",0.8
"Makawao, United States",0.8
"Fujinomiya, Japan",0.5
"Narita-shi, Japan",0.5
"Maui County, United States",0.5
"Waipahu, United States",0.4
"Fujiyoshida, Japan",0.3
"Minato, Japan",0.3
"Seattle, United States",0.2
"Honolulu, United States",0.2
"Tacoma, United States",0.2
"SeaTac, United States",0.2
"Kahului, United States",0.2
"Bellevue, United States",0.2
"Chūō, Japan",0.1
"Medina, United States",0.1
"Redmond, United States",0.1
"Deschutes County, United States",0.1
"Seatac, United States",0.1
"Pukalani, United States",0.1
"Puyallup, United States",0.1
"Taito, Japan",0.0
"Paia, United States",0.0
"Seventh Mountain, United States",0.0
"Makena, United States",0.0
"Burien, United States",0.0
"Otsuki, Japan",0.0
"Kent, United States",0.0
"Lahaina, United States",0.0
"Chiba, Japan",0.0
"Uenohara, Japan",0.0
"Fujinomiya-shi, Japan",0.0
"Wailuku, United States",0.0
"None, None",0.0
"Funabashi-shi, Japan",0.0
"Hachioji-shi, Japan",0.0
"Urayasu, Japan",0.0
"Sagamihara, Japan",0.0
"Suginami, Japan",0.0
"Chiyoda, Japan",0.0
"Ichikawa-shi, Japan",0.0
"Hickam Housing, United States",0.0
"Powell Butte, United States",0.0
"Tsuru, Japan",0.0
"Fuchu, Japan",0.0
"Gig Harbor, United States",0.0
"Haiku, United States",0.0
"Hachioji, Japan",0.0
"Sakura, Japan",0.0
"Yokoshibahikari, Japan",0.0
"Haʻikū, United States",0.0
"Grapeview, United States",0.0
"Maalaea, United States",0.0
"Haliimaile, United States",0.0
"Tomisato, Japan",0.0
"Narita, Japan",0.0
"Tukwila, United States",0.0
"Prineville, United States",0.0
"Des Moines, United States",0.0
