Date,From,To,Mode,Distance (mi)
2024-03-01 09:04,"Paia, United States","Tacoma, United States",Flight,2623.9
2024-03-01 09:16,"Tacoma, United States","Seattle, United States",Car,18.64
2024-03-03 21:18,"Kent, United States","Redmond, United States",Flight,225.05
2024-03-06 03:32,"Redmond, United States","Puyallup, United States",Flight,210.68
2024-03-06 03:40,"Puyallup, United States","Burien, United States",Car,15.1
2024-03-07 19:25,"Des Moines, United States","Gig Harbor, United States",Car,15.47
2024-03-07 19:30,"Gig Harbor, United States","Grapeview, United States",Car,14.84
2024-03-08 00:50,"Grapeview, United States","Maui County, United States",Flight,2609.02
2024-03-24 20:21,"Maui County, United States","Honolulu, United States",Car,99.79
2024-03-25 07:54,"Waipahu, United States","Narita-shi, Japan",Flight,3810.63
2024-03-25 09:14,"Narita-shi, Japan","Chiba, Japan",Car,12.2
2024-03-25 11:10,"Hachioji-shi, Japan","Sagamihara, Japan",Car,11.9
2024-03-29 02:27,"Fujikawaguchiko, Japan","Otsuki, Japan",Car,14.02
2024-03-30 11:31,"Narita-shi, Japan","Yokoshibahikari, Japan",Car,21.98
2024-03-30 11:50,"Yokoshibahikari, Japan","None, None",Flight,265.39
2024-03-30 17:49,"None, None","Waipahu, United States",Flight,3543.02
2024-03-30 20:33,"Honolulu, United States","Maui County, United States",Flight,101.45
