Location,Fractional Days
"Kihei, United States",16.3
"Houston, United States",2.7
"New Orleans, United States",2.4
"Nassau, The Bahamas",2.0
"Nassau, Bahamas",2.0
"Wailea, United States",1.7
"Mercer Island, United States",1.7
"Makawao, United States",1.1
"Kahului, United States",0.2
"Seatac, United States",0.2
"Maui, United States",0.2
"Paia, United States",0.2
"Haʻikū, United States",0.1
"Golden Valley County, United States",0.1
"Charlotte, United States",0.1
"New Providence, Bahamas",0.1
"Atlanta, United States",0.1
"Newnan, United States",0.1
"Maui County, United States",0.1
"Kenner, United States",0.1
"Haiku, United States",0.1
"Wailuku, United States",0.1
"York County, United States",0.1
"Lower Paia, United States",0.0
"Kula, United States",0.0
"Makena, United States",0.0
"SeaTac, United States",0.0
"Huntsville, United States",0.0
"Mineral, United States",0.0
"Seattle, United States",0.0
"Lahaina, United States",0.0
"Hana, United States",0.0
"Kanahena, United States",0.0
"Timmonsville, United States",0.0
"Humble, United States",0.0
"Webster, United States",0.0
"Aldine, United States",0.0
"Manchester, United States",0.0
"Baton Rouge, United States",0.0
"Metairie, United States",0.0
"Haiku-Pauwela, United States",0.0
"Shoshone County, United States",0.0
"Tukwila, United States",0.0
